RR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,,,,"Obesity"
0.36,0.36 (0.26-0.51),0.26,0.51,,"49 (0.18%)","121 (0.45%)","26,727","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.73,0.73 (0.51-1.05),0.51,1.05,,"52 (0.31%)","67 (0.39%)","17,057","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.78,0.78 (0.62-0.99),0.62,0.99,,"134 (0.32%)","154 (0.37%)","42,168","GLP-1RA(+)DDP-4i(-)","DPP-4i(+)GLP-1RA(-)"
0.75,0.75 (0.54-1.05),0.54,1.05,,"64 (0.32%)","77 (0.39%)","19,760","GLP-1RA(+)SGLTi2(-)","SGLT2i(+)GLP-1RA(-)"
0.58,0.58 (0.45-0.74),0.45,0.74,,"104 (0.25%)","163 (0.39%)","41,552","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
0.64,0.64 (0.46-0.89),0.46,0.89,,"58 (0.32%)","82 (0.45%)","18,087","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
,,,,,,,,"No obesity"
0.28,0.28 (0.21-0.39),0.21,0.39,,"51 (0.20%)","163 (0.65%)","25,038","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.93,0.93 (0.65-1.33),0.65,1.33,,"60 (0.35%)","62 (0.36%)","17,095","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.83,0.83 (0.67-1.02),0.67,1.02,,"167 (0.33%)","186 (0.37%)","50,112","GLP-1RA(+)DDP-4i(-)","DPP-4i(+)GLP-1RA(-)"
0.64,0.64 (0.51-0.81),0.51,0.81,,"120 (0.39%)","173 (0.56%)","31,118","GLP-1RA(+)SGLTi2(-)","SGLT2i(+)GLP-1RA(-)"
0.80,0.80 (0.64-1.01),0.64,1.01,,"139 (0.35%)","162 (0.41%)","39,597","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
0.80,0.80 (0.64-1.00),0.64,1.00,,"139 (0.39%)","165 (0.47%)","35,459","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
